LOCATION,Total_Tests_Country,Max_Index_Country,DevelopmentTiers,Average_Positive_Rate_Country,percentage_Positive_rate_Over_Dev_Index
South Korea,7494292,0.916,high development,0.0233409090909091,2.54813418023025
South Sudan,51373,0.433,low development,0.0910421052631579,21.0258903610064
Sri Lanka,2743851,0.782,medium development,0.0370422535211268,4.73686106408271
Sweden,8299676,0.945,high development,0.102905982905983,10.8895220006331
Switzerland,6470107,0.955,high development,0.114205128205128,11.9586521680763
Thailand,4351770,0.777,medium development,0.0696595744680851,8.96519619923875
Togo,309090,0.515,low development,0.0585789473684211,11.3745528870721
Trinidad and Tobago,124490,0.796,medium development,0.175862857142857,22.0933237616655
Tunisia,130677,0.74,medium development,0.27475,37.1283783783784
Turkey,46956422,0.82,high development,0.0945766423357664,11.5337368702154
Uganda,677401,0.544,low development,0.068411214953271,12.5755909840572
Ukraine,6514739,0.779,medium development,0.199037209302326,25.5503477923396
United Arab Emirates,43310259,0.89,high development,0.012,1.34831460674157
United Kingdom,145181353,0.932,high development,0.0851206896551724,9.13312120763652
United States,413502739,0.926,high development,0.103280701754386,11.1534235155924
Uruguay,1235341,0.817,high development,0.0978455284552846,11.9761968733518
Vietnam,333691,0.704,medium development,0.00609090909090909,0.865185950413223
Zambia,1347849,0.584,low development,0.106466216216216,18.2305164753795
Zimbabwe,479654,0.571,low development,0.0906307692307693,15.8722888320086
