Location,DevelopmentTiers,Max_Index_Country,CountryCovidDeathTiers,TOTALTESTS,TOTALCASES,TestingCoverage,RankOfTestCoverage
Ethiopia,low development,0.485,Excellent,2573734,257442,Critical Testing Shortage,11
Ghana,medium development,0.611,Excellent,877316,92562,Critical Testing Shortage,11
Gambia,low development,0.496,Excellent,59489,5898,Critical Testing Shortage,12
Morocco,medium development,0.686,Excellent,5592551,511249,Critical Testing Shortage,12
Czechia,high development,0.9,Excellent,17223085,1630758,Critical Testing Shortage,12
Estonia,high development,0.892,Excellent,1283666,122019,Critical Testing Shortage,12
Chile,high development,0.851,Excellent,12911467,1198245,Critical Testing Shortage,12
Philippines,medium development,0.718,Excellent,11002514,1037460,Critical Testing Shortage,12
Turkey,high development,0.82,Excellent,46956422,3997366,Critical Testing Shortage,13
Trinidad and Tobago,medium development,0.796,Excellent,124490,10824,Critical Testing Shortage,13
Lithuania,high development,0.882,Excellent,2797229,247269,Critical Testing Shortage,13
Cote d'Ivoire,low development,0.538,Excellent,567263,46036,Critical Testing Shortage,14
El Salvador,medium development,0.673,Excellent,892564,69198,Critical Testing Shortage,14
Belgium,high development,0.931,Excellent,12474082,990229,Critical Testing Shortage,14
United States,high development,0.926,Excellent,413502739,32346970,Critical Testing Shortage,14
Portugal,high development,0.864,Excellent,10462308,836493,Critical Testing Shortage,14
Pakistan,low development,0.557,Excellent,10534185,825519,Critical Testing Shortage,14
Senegal,low development,0.512,Excellent,489922,40344,Critical Testing Shortage,14
Zimbabwe,low development,0.571,Excellent,479654,38257,Critical Testing Shortage,14
France,high development,0.901,Excellent,75271850,5677835,Critical Testing Shortage,15
Liechtenstein,high development,0.919,Excellent,39847,2926,Critical Testing Shortage,15
India,medium development,0.645,Excellent,281018979,19164969,Critical Testing Shortage,16
Italy,high development,0.892,Excellent,58236657,4022653,Critical Testing Shortage,16
Zambia,low development,0.584,Excellent,1347849,91586,Critical Testing Shortage,16
Finland,high development,0.938,Excellent,4471324,86808,High Testing (Aggressive Screening),1
Iceland,high development,0.949,Excellent,348819,6472,High Testing (Aggressive Screening),2
South Korea,high development,0.916,Excellent,7494292,122633,High Testing (Aggressive Screening),3
Thailand,medium development,0.777,Excellent,4351770,65149,High Testing (Aggressive Screening),4
Mongolia,medium development,0.737,Excellent,2461873,37285,High Testing (Aggressive Screening),4
Cyprus,high development,0.887,Excellent,5136808,65233,High Testing (Aggressive Screening),5
United Arab Emirates,high development,0.89,Excellent,43310259,520236,High Testing (Aggressive Screening),6
Slovakia,high development,0.86,Excellent,34035158,382211,High Testing (Aggressive Screening),7
Denmark,high development,0.94,Excellent,24322447,251249,High Testing (Aggressive Screening),8
Vietnam,medium development,0.704,Excellent,333691,2928,High Testing (Aggressive Screening),9
Taiwan,low development,NULL,Excellent,207488,1127,High Testing (Aggressive Screening),10
Cuba,medium development,0.783,Excellent,35608501,106707,High Testing (Aggressive Screening),11
Australia,high development,0.944,Excellent,10435656,29811,High Testing (Aggressive Screening),12
Fiji,medium development,0.743,Excellent,42632,117,High Testing (Aggressive Screening),13
Bhutan,medium development,0.654,Excellent,631823,1074,High Testing (Aggressive Screening),14
New Zealand,high development,0.931,Excellent,1672964,2613,High Testing (Aggressive Screening),15
Myanmar,low development,0.583,Excellent,2407793,142817,Moderate Testing (Adequate Coverage),1
Uganda,low development,0.544,Excellent,677401,41866,Moderate Testing (Adequate Coverage),1
Ireland,high development,0.955,Excellent,4466107,248870,Moderate Testing (Adequate Coverage),2
Japan,high development,0.919,Excellent,11154934,593262,Moderate Testing (Adequate Coverage),3
Latvia,high development,0.866,Excellent,2245899,118558,Moderate Testing (Adequate Coverage),3
Bahrain,high development,0.852,Excellent,3297038,176934,Moderate Testing (Adequate Coverage),3
Israel,high development,0.919,Excellent,16101570,838481,Moderate Testing (Adequate Coverage),4
Greece,high development,0.888,Excellent,7630644,345033,Moderate Testing (Adequate Coverage),5
Malaysia,high development,0.81,Excellent,9179078,408713,Moderate Testing (Adequate Coverage),5
Togo,low development,0.515,Excellent,309090,12967,Moderate Testing (Adequate Coverage),6
Russia,high development,0.824,Excellent,115684824,4750755,Moderate Testing (Adequate Coverage),7
Maldives,medium development,0.74,Excellent,718648,29835,Moderate Testing (Adequate Coverage),7
Canada,high development,0.929,Excellent,31323043,1228367,Moderate Testing (Adequate Coverage),8
Sri Lanka,medium development,0.782,Excellent,2743851,108146,Moderate Testing (Adequate Coverage),8
Kazakhstan,high development,0.825,Excellent,10077237,375539,Moderate Testing (Adequate Coverage),9
Malta,high development,0.895,Excellent,865475,30292,Moderate Testing (Adequate Coverage),10
United Kingdom,high development,0.932,Excellent,145181353,4432246,Moderate Testing (Adequate Coverage),11
Rwanda,low development,0.543,Excellent,955920,25116,Moderate Testing (Adequate Coverage),12
Luxembourg,high development,0.916,Excellent,2652677,67205,Moderate Testing (Adequate Coverage),13
