Location,Date,TodayCases,YesterdayCases,DailyCasesSpikeTiers
Afghanistan,2020-08-13,86,76,Standard
Afghanistan,2020-08-14,75,86,Excellent Measures in Place
Afghanistan,2020-08-15,45,75,Excellent Measures in Place
Afghanistan,2020-08-16,48,45,Good Measures in Place
Afghanistan,2020-08-17,77,48,Monitor
Afghanistan,2020-08-18,43,77,Excellent Measures in Place
Afghanistan,2020-08-19,40,43,Excellent Measures in Place
Afghanistan,2020-08-20,102,40,Investigate
Afghanistan,2020-08-21,33,102,Excellent Measures in Place
Afghanistan,2020-08-22,59,33,Monitor
Afghanistan,2020-08-23,46,59,Excellent Measures in Place
Afghanistan,2020-08-24,55,46,Standard
Afghanistan,2020-08-25,16,55,Excellent Measures in Place
Afghanistan,2020-08-26,42,16,Monitor
Afghanistan,2020-08-27,16,42,Excellent Measures in Place
Afghanistan,2020-08-28,11,16,Excellent Measures in Place
Afghanistan,2020-08-29,3,11,Excellent Measures in Place
Afghanistan,2020-08-30,22,3,Monitor
Afghanistan,2020-08-31,4,22,Excellent Measures in Place
Afghanistan,2020-09-01,34,4,Monitor
Afghanistan,2020-09-02,50,34,Monitor
Afghanistan,2020-09-03,45,50,Excellent Measures in Place
Afghanistan,2020-09-04,16,45,Excellent Measures in Place
Afghanistan,2020-09-05,20,16,Good Measures in Place
Afghanistan,2020-09-06,74,20,Investigate
Afghanistan,2020-09-07,96,74,Monitor
Afghanistan,2020-09-08,26,96,Excellent Measures in Place
Afghanistan,2020-09-09,24,26,Excellent Measures in Place
Afghanistan,2020-09-10,28,24,Good Measures in Place
Afghanistan,2020-09-11,34,28,Standard
Afghanistan,2020-09-12,35,34,Excellent Measures in Place
Afghanistan,2020-09-13,75,35,Monitor
Afghanistan,2020-09-14,56,75,Excellent Measures in Place
Afghanistan,2020-09-15,43,56,Excellent Measures in Place
Afghanistan,2020-09-16,40,43,Excellent Measures in Place
Afghanistan,2020-09-17,17,40,Excellent Measures in Place
Afghanistan,2020-09-18,25,17,Standard
Afghanistan,2020-09-19,22,25,Excellent Measures in Place
Afghanistan,2020-09-20,125,22,Investigate
Afghanistan,2020-09-21,30,125,Excellent Measures in Place
Afghanistan,2020-09-22,22,30,Excellent Measures in Place
Afghanistan,2020-09-23,49,22,Monitor
Afghanistan,2020-09-24,25,49,Excellent Measures in Place
Afghanistan,2020-09-25,16,25,Excellent Measures in Place
Afghanistan,2020-09-26,6,16,Excellent Measures in Place
Afghanistan,2020-09-27,35,6,Monitor
Afghanistan,2020-09-28,12,35,Excellent Measures in Place
Afghanistan,2020-09-29,15,12,Good Measures in Place
Afghanistan,2020-09-30,14,15,Excellent Measures in Place
Afghanistan,2020-10-01,17,14,Good Measures in Place
Afghanistan,2020-10-02,5,17,Excellent Measures in Place
Afghanistan,2020-10-03,7,5,Good Measures in Place
Afghanistan,2020-10-04,44,7,Monitor
Afghanistan,2020-10-05,81,44,Monitor
Afghanistan,2020-10-06,64,81,Excellent Measures in Place
Afghanistan,2020-10-07,62,64,Excellent Measures in Place
Afghanistan,2020-10-08,68,62,Standard
Afghanistan,2020-10-09,77,68,Standard
Afghanistan,2020-10-10,10,77,Excellent Measures in Place
Afghanistan,2020-10-11,96,10,Investigate
Afghanistan,2020-10-12,71,96,Excellent Measures in Place
Afghanistan,2020-10-13,58,71,Excellent Measures in Place
Afghanistan,2020-10-14,66,58,Standard
Afghanistan,2020-10-15,32,66,Excellent Measures in Place
Afghanistan,2020-10-16,62,32,Monitor
Afghanistan,2020-10-17,53,62,Excellent Measures in Place
Afghanistan,2020-10-18,59,53,Standard
Afghanistan,2020-10-19,87,59,Monitor
Afghanistan,2020-10-20,82,87,Excellent Measures in Place
Afghanistan,2020-10-21,141,82,Investigate
Afghanistan,2020-10-22,116,141,Excellent Measures in Place
Afghanistan,2020-10-23,61,116,Excellent Measures in Place
Afghanistan,2020-10-24,81,61,Monitor
Afghanistan,2020-10-25,65,81,Excellent Measures in Place
Afghanistan,2020-10-26,104,65,Monitor
Afghanistan,2020-10-27,95,104,Excellent Measures in Place
Afghanistan,2020-10-28,113,95,Monitor
Afghanistan,2020-10-29,123,113,Standard
Afghanistan,2020-10-30,66,123,Excellent Measures in Place
Afghanistan,2020-10-31,91,66,Monitor
Afghanistan,2020-11-01,76,91,Excellent Measures in Place
Afghanistan,2020-11-02,132,76,Investigate
Afghanistan,2020-11-03,95,132,Excellent Measures in Place
Afghanistan,2020-11-04,86,95,Excellent Measures in Place
Afghanistan,2020-11-05,121,86,Monitor
Afghanistan,2020-11-06,40,121,Excellent Measures in Place
Afghanistan,2020-11-07,58,40,Monitor
Afghanistan,2020-11-08,126,58,Investigate
Afghanistan,2020-11-09,138,126,Monitor
Afghanistan,2020-11-10,166,138,Monitor
Afghanistan,2020-11-11,146,166,Excellent Measures in Place
Afghanistan,2020-11-12,186,146,Monitor
Afghanistan,2020-11-13,174,186,Excellent Measures in Place
Afghanistan,2020-11-14,66,174,Excellent Measures in Place
Afghanistan,2020-11-15,205,66,Investigate
Afghanistan,2020-11-16,228,205,Monitor
Afghanistan,2020-11-17,213,228,Excellent Measures in Place
Afghanistan,2020-11-18,243,213,Monitor
Afghanistan,2020-11-19,253,243,Standard
Afghanistan,2020-11-20,186,253,Excellent Measures in Place
Afghanistan,2020-11-21,140,186,Excellent Measures in Place
Afghanistan,2020-11-22,203,140,Investigate
Afghanistan,2020-11-23,282,203,Investigate
Afghanistan,2020-11-24,186,282,Excellent Measures in Place
Afghanistan,2020-11-25,210,186,Monitor
Afghanistan,2020-11-26,216,210,Standard
Afghanistan,2020-11-27,123,216,Excellent Measures in Place
Afghanistan,2020-11-28,121,123,Excellent Measures in Place
Afghanistan,2020-11-29,272,121,Investigate
Afghanistan,2020-11-30,158,272,Excellent Measures in Place
Afghanistan,2020-12-01,242,158,Investigate
Afghanistan,2020-12-02,202,242,Excellent Measures in Place
Afghanistan,2020-12-03,119,202,Excellent Measures in Place
Afghanistan,2020-12-04,0,119,Excellent Measures in Place
Afghanistan,2020-12-05,235,0,Investigate
Afghanistan,2020-12-06,234,235,Excellent Measures in Place
Afghanistan,2020-12-07,210,234,Excellent Measures in Place
Afghanistan,2020-12-08,200,210,Excellent Measures in Place
Afghanistan,2020-12-09,135,200,Excellent Measures in Place
Afghanistan,2020-12-10,202,135,Investigate
Afghanistan,2020-12-11,63,202,Excellent Measures in Place
Afghanistan,2020-12-12,113,63,Monitor
Afghanistan,2020-12-13,298,113,Investigate
Afghanistan,2020-12-14,191,298,Excellent Measures in Place
Afghanistan,2020-12-15,234,191,Monitor
Afghanistan,2020-12-16,209,234,Excellent Measures in Place
Afghanistan,2020-12-17,217,209,Standard
Afghanistan,2020-12-18,243,217,Monitor
Afghanistan,2020-12-19,60,243,Excellent Measures in Place
Afghanistan,2020-12-20,136,60,Investigate
Afghanistan,2020-12-21,196,136,Investigate
Afghanistan,2020-12-22,177,196,Excellent Measures in Place
Afghanistan,2020-12-23,243,177,Investigate
Afghanistan,2020-12-24,222,243,Excellent Measures in Place
Afghanistan,2020-12-25,155,222,Excellent Measures in Place
Afghanistan,2020-12-26,76,155,Excellent Measures in Place
Afghanistan,2020-12-27,153,76,Investigate
Afghanistan,2020-12-28,241,153,Investigate
Afghanistan,2020-12-29,70,241,Excellent Measures in Place
Afghanistan,2020-12-30,55,70,Excellent Measures in Place
Afghanistan,2020-12-31,121,55,Investigate
Afghanistan,2021-01-01,0,121,Excellent Measures in Place
Afghanistan,2021-01-02,0,0,Excellent Measures in Place
Afghanistan,2021-01-03,0,0,Excellent Measures in Place
Afghanistan,2021-01-04,1485,0,Investigate
Afghanistan,2021-01-05,94,1485,Excellent Measures in Place
Afghanistan,2021-01-06,0,94,Excellent Measures in Place
Afghanistan,2021-01-07,102,0,Investigate
Afghanistan,2021-01-08,125,102,Monitor
Afghanistan,2021-01-09,68,125,Excellent Measures in Place
Afghanistan,2021-01-10,89,68,Monitor
Afghanistan,2021-01-11,49,89,Excellent Measures in Place
Afghanistan,2021-01-12,46,49,Excellent Measures in Place
Afghanistan,2021-01-13,0,46,Excellent Measures in Place
Afghanistan,2021-01-14,191,0,Investigate
Afghanistan,2021-01-15,56,191,Excellent Measures in Place
Afghanistan,2021-01-16,107,56,Investigate
Afghanistan,2021-01-17,46,107,Excellent Measures in Place
Afghanistan,2021-01-18,78,46,Monitor
Afghanistan,2021-01-19,79,78,Excellent Measures in Place
Afghanistan,2021-01-20,137,79,Investigate
Afghanistan,2021-01-21,125,137,Excellent Measures in Place
Afghanistan,2021-01-22,80,125,Excellent Measures in Place
Afghanistan,2021-01-23,76,80,Excellent Measures in Place
Afghanistan,2021-01-24,36,76,Excellent Measures in Place
Afghanistan,2021-01-25,77,36,Monitor
Afghanistan,2021-01-26,78,77,Excellent Measures in Place
Afghanistan,2021-01-27,104,78,Monitor
Afghanistan,2021-01-28,37,104,Excellent Measures in Place
Afghanistan,2021-01-29,48,37,Monitor
Afghanistan,2021-01-30,69,48,Monitor
Afghanistan,2021-01-31,15,69,Excellent Measures in Place
Afghanistan,2021-02-01,36,15,Monitor
Afghanistan,2021-02-02,62,36,Monitor
Afghanistan,2021-02-03,53,62,Excellent Measures in Place
Afghanistan,2021-02-04,57,53,Good Measures in Place
Afghanistan,2021-02-05,34,57,Excellent Measures in Place
Afghanistan,2021-02-06,65,34,Monitor
Afghanistan,2021-02-07,5,65,Excellent Measures in Place
Afghanistan,2021-02-08,24,5,Monitor
